From,To,domain,label,TTL
192.41.103.209,129.215.97.62,ed.ac.uk,1,27
192.168.0.1,10.5.82.1,harvard.edu,1,2
10.5.82.1,192.168.41.149,harvard.edu,1,3
192.168.41.149,103.232.241.70,harvard.edu,1,4
103.232.241.70,103.232.241.2,harvard.edu,1,5
103.232.241.2,10.119.254.121,harvard.edu,1,6
10.119.254.121,10.160.24.5,harvard.edu,1,7
10.160.24.5,10.255.222.33,harvard.edu,1,8
10.255.222.33,115.247.100.29,harvard.edu,1,9
115.247.100.29,49.44.187.157,harvard.edu,1,15
49.44.187.157,151.101.130.133,harvard.edu,1,16
192.168.0.1,10.5.82.1,delugerpg.com,1,2
10.5.82.1,192.168.41.149,delugerpg.com,1,3
192.168.41.149,103.232.241.70,delugerpg.com,1,4
103.232.241.70,103.232.241.2,delugerpg.com,1,5
103.232.241.2,10.119.254.121,delugerpg.com,1,6
10.119.254.121,10.160.24.5,delugerpg.com,1,7
10.160.24.5,10.255.222.33,delugerpg.com,1,8
10.255.222.33,115.247.100.29,delugerpg.com,1,9
115.247.100.29,49.44.187.49,delugerpg.com,1,11
49.44.187.49,172.67.69.31,delugerpg.com,1,12
192.168.31.1,10.5.82.1,friv.com,1,2
10.5.82.1,192.168.41.149,friv.com,1,3
192.168.41.149,103.232.241.70,friv.com,1,4
103.232.241.70,103.232.241.2,friv.com,1,5
103.232.241.2,10.119.254.121,friv.com,1,6
10.119.254.121,10.160.24.5,friv.com,1,7
10.160.24.5,10.255.221.33,friv.com,1,8
10.255.221.33,115.247.100.29,friv.com,1,9
115.247.100.29,210.57.38.112,friv.com,1,14
210.57.38.112,180.87.54.6,friv.com,1,15
180.87.54.6,180.87.107.196,friv.com,1,16
180.87.107.196,207.45.219.128,friv.com,1,21
207.45.219.128,207.45.219.137,friv.com,1,22
207.45.219.137,207.244.69.244,friv.com,1,23
192.168.31.1,10.5.82.1,kongregate.com,1,2
10.5.82.1,192.168.41.149,kongregate.com,1,3
192.168.41.149,103.232.241.70,kongregate.com,1,4
103.232.241.70,103.232.241.2,kongregate.com,1,5
103.232.241.2,10.119.254.121,kongregate.com,1,6
10.119.254.121,10.160.24.5,kongregate.com,1,7
10.160.24.5,10.255.222.33,kongregate.com,1,8
10.255.222.33,115.247.100.29,kongregate.com,1,9
115.247.100.29,13.35.231.20,kongregate.com,1,22
192.168.31.1,10.5.82.1,miniclip.com,1,2
10.5.82.1,192.168.41.149,miniclip.com,1,3
192.168.41.149,103.232.241.70,miniclip.com,1,4
103.232.241.70,103.232.241.2,miniclip.com,1,5
103.232.241.2,10.119.254.121,miniclip.com,1,6
10.119.254.121,10.160.24.5,miniclip.com,1,7
10.160.24.5,10.255.221.33,miniclip.com,1,8
10.255.221.33,115.247.100.29,miniclip.com,1,9
115.247.100.29,18.155.49.56,miniclip.com,1,17
192.168.31.1,10.5.82.1,notdoppler.com,1,2
10.5.82.1,192.168.41.149,notdoppler.com,1,3
192.168.41.149,103.232.241.70,notdoppler.com,1,4
103.232.241.70,10.119.254.121,notdoppler.com,1,6
10.119.254.121,10.160.24.5,notdoppler.com,1,7
10.160.24.5,10.255.221.33,notdoppler.com,1,8
10.255.221.33,115.247.100.29,notdoppler.com,1,9
115.247.100.29,49.44.187.49,notdoppler.com,1,11
49.44.187.49,104.22.29.219,notdoppler.com,1,12
192.168.31.1,10.5.82.1,guinnessworldrecords.com,1,2
10.5.82.1,192.168.41.149,guinnessworldrecords.com,1,3
192.168.41.149,103.232.241.70,guinnessworldrecords.com,1,4
103.232.241.70,103.232.241.2,guinnessworldrecords.com,1,5
103.232.241.2,10.119.254.121,guinnessworldrecords.com,1,6
10.119.254.121,10.160.24.5,guinnessworldrecords.com,1,7
10.160.24.5,10.255.222.33,guinnessworldrecords.com,1,8
10.255.222.33,18.155.49.127,guinnessworldrecords.com,1,17
192.168.31.1,10.5.82.1,fearp.usp.br,1,2
10.5.82.1,192.168.41.149,fearp.usp.br,1,3
192.168.41.149,103.232.241.70,fearp.usp.br,1,4
103.232.241.70,103.232.241.2,fearp.usp.br,1,5
103.232.241.2,10.119.254.121,fearp.usp.br,1,6
10.119.254.121,10.160.24.5,fearp.usp.br,1,7
10.160.24.5,10.255.232.201,fearp.usp.br,1,8
10.255.232.201,180.149.48.18,fearp.usp.br,1,9
180.149.48.18,180.149.48.2,fearp.usp.br,1,10
180.149.48.2,180.149.48.13,fearp.usp.br,1,11
180.149.48.13,163.253.1.116,fearp.usp.br,1,12
163.253.1.116,163.253.1.9,fearp.usp.br,1,13
163.253.1.9,163.253.1.135,fearp.usp.br,1,14
163.253.1.135,163.253.1.104,fearp.usp.br,1,15
163.253.1.104,163.253.2.33,fearp.usp.br,1,16
163.253.2.33,64.57.28.62,fearp.usp.br,1,17
64.57.28.62,200.143.252.26,fearp.usp.br,1,18
200.143.252.26,170.79.213.46,fearp.usp.br,1,19
170.79.213.46,170.79.213.3,fearp.usp.br,1,20
170.79.213.3,170.79.214.109,fearp.usp.br,1,21
170.79.214.109,143.107.0.184,fearp.usp.br,1,22
143.107.0.184,143.107.0.14,fearp.usp.br,1,23
143.107.0.14,143.107.159.1,fearp.usp.br,1,24
143.107.159.1,143.107.159.94,fearp.usp.br,1,25
143.107.159.94,143.107.205.12,fearp.usp.br,1,26
192.168.31.1,10.5.82.1,uj.ac.za,1,2
10.5.82.1,192.168.41.149,uj.ac.za,1,3
192.168.41.149,103.232.241.70,uj.ac.za,1,4
103.232.241.70,103.232.241.2,uj.ac.za,1,5
103.232.241.2,10.119.254.121,uj.ac.za,1,6
10.119.254.121,10.160.24.5,uj.ac.za,1,7
10.160.24.5,10.255.232.201,uj.ac.za,1,8
10.255.232.201,180.149.48.18,uj.ac.za,1,9
180.149.48.18,180.149.48.2,uj.ac.za,1,10
180.149.48.2,155.232.220.18,uj.ac.za,1,11
155.232.220.18,155.232.1.21,uj.ac.za,1,12
155.232.1.21,155.232.152.20,uj.ac.za,1,13
155.232.152.20,155.232.152.23,uj.ac.za,1,14
155.232.152.23,155.232.1.153,uj.ac.za,1,15
155.232.1.153,155.232.129.148,uj.ac.za,1,16
155.232.129.148,155.232.129.64,uj.ac.za,1,17
192.168.31.1,10.5.82.1,canberra.edu.au,1,2
10.5.82.1,192.168.41.149,canberra.edu.au,1,3
192.168.41.149,103.232.241.70,canberra.edu.au,1,4
103.232.241.70,103.232.241.2,canberra.edu.au,1,5
103.232.241.2,10.119.254.121,canberra.edu.au,1,6
10.119.254.121,10.160.24.5,canberra.edu.au,1,7
10.160.24.5,10.255.232.226,canberra.edu.au,1,8
10.255.232.226,180.149.48.15,canberra.edu.au,1,9
180.149.48.15,180.149.48.23,canberra.edu.au,1,10
180.149.48.23,180.149.48.27,canberra.edu.au,1,11
180.149.48.27,202.179.249.101,canberra.edu.au,1,12
202.179.249.101,202.179.249.62,canberra.edu.au,1,13
202.179.249.62,113.197.15.11,canberra.edu.au,1,14
192.168.31.1,10.5.82.1,facebook.com,1,2
10.5.82.1,192.168.41.149,facebook.com,1,3
192.168.41.149,103.232.241.70,facebook.com,1,4
103.232.241.70,103.232.241.2,facebook.com,1,5
103.232.241.2,10.119.254.121,facebook.com,1,6
10.119.254.121,10.160.24.5,facebook.com,1,7
10.160.24.5,10.152.7.214,facebook.com,1,9
10.152.7.214,10.152.7.233,facebook.com,1,10
10.152.7.233,157.240.66.204,facebook.com,1,11
157.240.66.204,157.240.35.63,facebook.com,1,12
157.240.35.63,157.240.38.141,facebook.com,1,13
157.240.38.141,157.240.16.35,facebook.com,1,14
192.168.31.1,10.5.82.1,instagram.com,1,2
10.5.82.1,192.168.41.149,instagram.com,1,3
192.168.41.149,103.232.241.70,instagram.com,1,4
103.232.241.70,103.232.241.2,instagram.com,1,5
103.232.241.2,10.119.254.121,instagram.com,1,6
10.119.254.121,10.160.24.5,instagram.com,1,7
10.160.24.5,10.152.7.38,instagram.com,1,9
10.152.7.38,157.240.68.238,instagram.com,1,10
157.240.68.238,157.240.44.31,instagram.com,1,11
157.240.44.31,157.240.38.255,instagram.com,1,12
157.240.38.255,157.240.16.174,instagram.com,1,13
192.168.31.1,10.5.82.1,threads.net,1,2
10.5.82.1,192.168.41.149,threads.net,1,3
192.168.41.149,103.232.241.70,threads.net,1,4
103.232.241.70,10.119.254.121,threads.net,1,6
10.119.254.121,10.160.24.5,threads.net,1,7
10.160.24.5,10.152.7.214,threads.net,1,9
10.152.7.214,10.152.7.233,threads.net,1,10
10.152.7.233,157.240.68.238,threads.net,1,11
157.240.68.238,31.13.29.205,threads.net,1,12
31.13.29.205,173.252.67.9,threads.net,1,13
173.252.67.9,157.240.16.63,threads.net,1,14
192.168.31.1,10.5.82.1,web.whatsapp.com,1,2
10.5.82.1,192.168.41.149,web.whatsapp.com,1,3
192.168.41.149,103.232.241.70,web.whatsapp.com,1,4
103.232.241.70,103.232.241.2,web.whatsapp.com,1,5
103.232.241.2,10.119.254.121,web.whatsapp.com,1,6
10.119.254.121,10.160.24.5,web.whatsapp.com,1,7
10.160.24.5,10.152.7.38,web.whatsapp.com,1,9
10.152.7.38,157.240.66.204,web.whatsapp.com,1,10
157.240.66.204,157.240.44.27,web.whatsapp.com,1,11
157.240.44.27,173.252.67.127,web.whatsapp.com,1,12
173.252.67.127,157.240.16.52,web.whatsapp.com,1,13
